  leveleditor/air
# tiles/natural/middle
% tiles/stone/tile
c tiles/collectable/caramel
$ tiles/secret/fake_dirt
4 tiles/natural/mushroom
U tiles/natural/mushroom_flip
> tiles/pushright
< tiles/pushleft
H tiles/ladder
o tiles/natural/water
s tiles/natural/sand
O tiles/portal
E tiles/stone/brick
^ tiles/spike
W tiles/natural/plant
& tiles/secret/fake_ladder
D tiles/secret/fake_brick
C tiles/collectable/ruby
( tiles/stone/brickLeft
) tiles/stone/brickRight
[ tiles/signLeft
] tiles/signRight
| tiles/decoration/post
! tiles/secret/solidAir
S entities/moome
T entities/turtle
n entities/cat
P leveleditor/checkpoint
X tiles/secret/kill
