/ tiles/natural/left
= tiles/natural/up
\ tiles/natural/right
. tiles/natural/top
# tiles/natural/middle
' tiles/natural/bottom
$ tiles/natural/middle
4 tiles/natural/mushroom
U tiles/natural/mushroom_flip
F tiles/decoration/flower
@ tiles/natural/middle_dark
* tiles/natural/water_top
o tiles/natural/water
s tiles/natural/sand
W tiles/natural/plant
c tiles/collectable/caramel
C tiles/collectable/ruby
% tiles/stone/tile
E tiles/stone/brick
D tiles/stone/brick
( tiles/stone/brick
) tiles/stone/brick
> tiles/pushright
< tiles/pushleft
H tiles/ladder
O tiles/portal
^ tiles/spike
& tiles/ladder
[ tiles/signLeft
] tiles/signRight
d tiles/derp
